"Course Number","Course Title","Course Catalog Code","Print on Schedule (Y/N)","Section Number","Section Title","Session Code","Year","Section Status","Section Begin Date","Section End Date","Section Credit Hours","Maximum Registration"
"ENGL107  PO","William Blake","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ENGL110  PO","Women & the Rise of the Novel","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,35
"ENGL112  PO","Early Modern Romance","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL113  PO","Race/Gendr/Pop Culture 1865-1917","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL114  PO","Asian/American Forms","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,35
"ENGL115  PO","Eating the Other:Race,Gndr,Lit","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ENGL116  PO","Excess: Lit/Phil/Psychoanalysis","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL117  PO","Poststructuralism","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL118  PO","Nature of Narrative:Fiction,Film","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ENGL121  SC","Milton:Nature,Knowledge,Creation","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL122  AF","Healing Narratives","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL123A SC","The Elizabethan Shakespeare","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL123B SC","The Jacobean Shakespeare","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL125C AF","Introduction to Afr-American Lit","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL127  PO","Pre-modern Psychology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL129  PO","Spaces of Cultural Resistance","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL129  PZ","Poetry and Public Space","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ENGL129  SC","Possible Worlds: Lit,Sci,Games","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
