"Course Number","Course Title","Course Catalog Code","Print on Schedule (Y/N)","Section Number","Section Title","Session Code","Year","Section Status","Section Begin Date","Section End Date","Section Credit Hours","Maximum Registration"
"AFRI010A AF","Intro to Africana Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"AFRI120  AF","Prisons and Public Education","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,21
"AFRI150W AF","Contemporary African Voices","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"AFRI190  AF","Senior Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"AFRI191  AF","Senior Thesis","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"AFRI191  AF","Senior Thesis","UG12","Y","06","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"AFRI191  AF","Senior Thesis","UG12","Y","08","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"AFRI191  SC","Senior Thesis:Africana Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,10
"AFRI192  AF","Senior Project","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,99
"AFRI193  AF","Senior Comprehensive Examination","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,99
"AFRI199  AF","Indep Study: Africana Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"AISS001ALKS","Accel Integrt Bio,Chem & Phys 1","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,28
"AISS001BLKS","Accel Integrt Bio,Chem & Phys 2","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,28
"AMST120  HM","Hyphenated Americans","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,21
"AMST126  SC","Race in US Urban History","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"AMST180  PO","American Studies Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"AMST180  SC","American Studies Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"AMST190  JT","Senior Thesis Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"AMST191  PO","Senior Thesis","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,20
"AMST199  SC","Independent St: American Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ANTH002  PZ","Intro Sociocultural Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ANTH002  SC","Intro Sociocultural Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ANTH009  PZ","Food, Culture, Power","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ANTH016  PZ","Intro to Nepal","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,40
"ANTH020  SC","Anthropology of Latin America","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH051  PO","Intro to Sociocultural Anth","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,35
"ANTH051  PO","Intro to Sociocultural Anth","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ANTH053  PO","Language, Thought, and Culture","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ANTH057  PO","Biological Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ANTH059  PO","Archaeology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ANTH067  PZ","Monkeys, Apes and Humans","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH087  SC","Contemp Issues: Gender & Islam","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH088  PZ","China: Gender,Cosmology & State","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,17
"ANTH097G SC","Political Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH100  PZ","Cannibalism, Shamanism, Alterity","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ANTH105  PZ","Field Methods in Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ANTH107  PO","Medical Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ANTH109  PO","Theory in Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH111  HM","Intro Anth Science & Technology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,22
"ANTH113  SC","Ethnographic Tales of the City","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ANTH115  HM","War and Conflict","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,20
"ANTH118  SC","Visual Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH120  PO","Altered States of Consciousness","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ANTH124  PO","The Seacoast in Prehistory","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH129  PO","Native California","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH130  PO","Sexuality/Sexual Poli Mid-East","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH130  PO","Sexuality/Sexual Poli Mid-East","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH135  PO","The Social Life of Media","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ANTH145  PO","Cultural Ecology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ANTH150  PO","Understanding Religion","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH152  PO","Ethnic Nationalism","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,35
"ANTH155  PO","Globalization","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ANTH171  SC","Seminar in Sexuality & Religion","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ANTH189H PO","Economic Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ANTH189K PO","Anthropology of Death and Dying","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH190  SC","Senior Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ANTH191  PO","Senior Thesis","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ANTH191  PO","Senior Thesis","UG12","Y","08","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ANTH191  PO","Senior Thesis","UG12","Y","12","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ANTH192  PO","Senior Project","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ANTH192  PO","Senior Project","UG12","Y","08","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ANTH192  PO","Senior Project","UG12","Y","12","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ANTH198  SC","Independent Internship","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,5
"ANTH199  SC","Independent St: Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ARBC001  CM","Introductory Arabic","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ARBC001  CM","Introductory Arabic","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ARBC001  CM","Introductory Arabic","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ARBC033  CM","Intermediate Arabic","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ARBC033  CM","Intermediate Arabic","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ARBC120  CM","Arabic Morphology & Syntax","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ARBC166  CM","Modern Arab Culture & Thought","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ARBC999  CM","Arabic Conversation","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,140
"ARCN101  SC","Topics in Art Conservation","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARCN110  SC","Artists Materials,Ancient+Modern","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARCN120  SC","Global Tourism and Preservation","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARCN198  SC","Independent Internship","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ARHI051A PO","Intro Art History: Ancient World","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ARHI051B PO","Intro Art Hist: European Mid Age","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,35
"ARHI051C PO","Intro Art Hist: 1200-Present","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ARHI051C PZ","Intro Art Hist: 1200 to Present","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI130  PO","Pre-Columbian Art of Meso-Amer","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ARHI133  PO","Art, Conquest and Colonization","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI135  PO","Art & Natlism: 19th Cty North Am","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ARHI140  PO","The Arts of Africa","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI144B PO","Daughters Africa Art Cinema Love","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI151  SC","The Arts of Japan","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ARHI163  PO","Hellenistic and Roman Art","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ARHI165  PO","Holy Men/Holy Women/Relics/Icons","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ARHI166  PO","Pilgrimage and Crusade","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI168  PO","Tyrants & Communes in Italy","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ARHI170  PO","The Early Renaissance in Italy","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ARHI171  PO","High Renaissance/Modernism Italy","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI173  PO","Medieval and Renaissance City","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI175  PO","Baroque Art of Northern Europe","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI178  PO","Black Aesth/Poli (Re)presentatn","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI179  PO","Modern Arch/Sustainability","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,75
"ARHI180R SC","Russian & Soviet Avant-Gardes","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,10
"ARHI181  SC","Art from 1945-1989","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI185  SC","History of Photography","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI186C SC","Seminar: Topics in Asian Art","UG12","Y","01","Asian Art Seminar: Tale of Genji","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ARHI186F PO","Seminar:Topics/Art & Nationalism","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ARHI186G PO","Gendering the Renaissance","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI186K SC","Seminar in Modern Art","UG12","Y","01","Seminar in Modern Art: Bauhuas","FA",2012,"O",2012-09-04,2012-12-21,1,10
"ARHI186P PO","Women, Art, and Ideology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ARHI186Q PO","Reading the Art Museum","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ARHI186T PO","Art and Time","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI186Y PO","Cinema Against War","UG12","Y","01","WMD's: Cinema Against War","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI189  SC","European Modernism 1840-1940","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ARHI190  PO","Senior Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ARHI190  SC","Senior Seminar in Art History","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ARHI191  PO","Senior Thesis - Art History","UG12","Y","01","N Amer Christian Visual Artists","FA",2012,"O",2012-09-04,2012-12-21,1,1
"ARHI199  PO","Independent Study: Art History","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,99
"ARHI199  SC","Independent Study in Art History","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ARHI199DRPO","Art History: Directed Readings","UG12","Y","01","Fifteen Female Artists","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ART 005  PO","Drawing I","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 005  PO","Drawing I","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 010  PO","Painting I","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ART 012  PZ","Fundamentals of Painting","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 020  PO","Black and White Photography","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 021  PO","Foundations of Digital Design","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 021  PO","Foundations of Digital Design","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ART 025  PO","Sculpture I","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ART 027  PO","Wood Sculpture","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,14
"ART 057  PZ","Mixed Media/Sculpture","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 100A SC","Fundamentals of Art","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 101  SC","Beginning Painting","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,22
"ART 102  SC","Intermediate & Advanced Painting","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,22
"ART 103  SC","Advanced Painting","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,22
"ART 105  SC","Beginning Drawing","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,22
"ART 105A PO","Drawing II: Abstractions","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 105B PO","Drawing II: Representation","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,14
"ART 108  PO","Figurative Painting","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ART 111  PO","Topics in Contemporary Painting","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ART 113  PZ","Drawing Workshop","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 116  PZ","Moldmaking","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ART 119  PO","Landscape/Placescape/Spacescape","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 120  PO","Photographing People","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,14
"ART 120  SC","Beginning Wheel Throwing","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 121  SC","Beginning Ceramic Sculpture","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 122  SC","Intermediate & Advanced Ceramics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 125  PZ","Digital Photography","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,14
"ART 125  PZ","Digital Photography","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,14
"ART 131  PO","Sculptural Funct & Concep Design","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ART 134  SC","Between Analog+Digital Printmkng","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ART 135  SC","Typography and the Book Arts","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 141  SC","Introduction to Digital Imaging","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,24
"ART 142  SC","Intermed/Adv Digital Imaging","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,24
"ART 143  SC","Digital Color Photography","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,24
"ART 145  SC","Beginning Photography","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ART 148  SC","Introduction to Video","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ART 181  SC","Topics in Art Theory","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 181G SC","From Beauty to the Abject","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 189  PZ","Art, Innovation & Exhibition","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ART 190  PO","Junior/Senior Art Major Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,99
"ART 192  PO","Senior Project in Art","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,99
"ART 192  SC","Sr Project & Seminar:Studio Arts","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ART 196  PZ","Artist Apprenticeship Internship","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,2
"ART 198  SC","Independent Internship","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ART 199  SC","Independent Study:  Studio Arts","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"AS  100  HM","The Air Force Today","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,19
"AS  100  HM","The Air Force Today","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,19
"AS  110  HM","AFROTC Leadership Laboratory","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,18
"AS  200  HM","USAF Air and Space Power","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,19
"AS  200  HM","USAF Air and Space Power","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,19
"AS  210  HM","AFROTC Leadership Laboratory","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,20
"AS  300  HM","Air Force Leadership/Management","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,10
"AS  300  HM","Air Force Leadership/Management","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,3,10
"AS  310  HM","AFROTC Leadership Laboratory","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,20
"AS  400  HM","National Security Affairs","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,20
"AS  410  HM","AFROTC Leadership Laboratory","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,20
"ASAM082  PZ","Racial Politics of Teaching","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ASAM102  PZ","Fieldwork: Asian Americans","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ASAM115  PZ","Theories and Methods","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ASAM135  PZ","Filam Experiences","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,10
"ASAM179C AA","SpecialTopics/Asian-AmerStudies: Queering Asian America","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,20
"ASAM190  PO","Senior Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,10
"ASAM190A PO","Asian Amer Studies Senior Sem","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ASAM191  PO","Senior Thesis Asian Amer Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ASAM199  SC","Independent St: Asian Amer St","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ASIA190  PO","Senior Thesis Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ASIA191  PO","Senior Thesis","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ASIA191  SC","Senior Thesis: Asian Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,10
"ASIA199  SC","Independent St: Asian Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ASTR001  PO","Introductory Astronomy w/Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,45
"ASTR001 LPO","Lab, Introductory Astronomy","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,45
"ASTR009  PO","Cosmic Origins","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ASTR066L KS","Elementary Astronomy","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,40
"ASTR101  PO","Techn in Observtnal Astrophysics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,10
"ASTR101 LPO","Lab, Observational Astrophysics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,10
"ASTR199RAPO","Astronomy:Research Assistantship","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"BIOL001A PO","Human Genetics for Non-Majors","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"BIOL001H PO","Cloning & Stem Cells for Non-Maj","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"BIOL002A PO","Biology, Gender, and Society","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,24
"BIOL002ALPO","Biology, Gender and Society Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,24
"BIOL039L KS","Analyses of Human Motor Skills","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,45
"BIOL040  PO","Introductory Genetics w/Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,36
"BIOL040  PO","Introductory Genetics w/Lab","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,36
"BIOL040  PO","Introductory Genetics w/Lab","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,1,36
"BIOL040  PO","Introductory Genetics w/Lab","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,1,36
"BIOL040L KS","Intro to Biological Chemistry","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,28
"BIOL041C PO","Intro Cell Chem & Cell Bio w/Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,34
"BIOL041C PO","Intro Cell Chem & Cell Bio w/Lab","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,34
"BIOL041C PO","Intro Cell Chem & Cell Bio w/Lab","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,1,34
"BIOL041C PO","Intro Cell Chem & Cell Bio w/Lab","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,1,14
"BIOL041C PO","Intro Cell Chem & Cell Bio w/Lab","UG12","Y","05","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"BIOL041CLPO","Lab, Intro Cell Chem & Cell Biol","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,34
"BIOL041CLPO","Lab, Intro Cell Chem & Cell Biol","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,0,32
"BIOL041CLPO","Lab, Intro Cell Chem & Cell Biol","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,0,32
"BIOL041E PO","Intro Ecol & Evolutnry Bio w/Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,24
"BIOL041ELPO","Lab, Intro Ecol & Evol Biology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,24
"BIOL043L KS","Introductory Biology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"BIOL043L KS","Introductory Biology","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"BIOL043L KS","Introductory Biology","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"BIOL043L KS","Introductory Biology","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"BIOL043L KS","Introductory Biology","UG12","Y","05","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"BIOL057L KS","Concepts in Biology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,40
"BIOL082L KS","Plant Biotech in Greener World","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,23
"BIOL103  HM","Comparative Physiology Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,2,6
"BIOL109  HM","Evolutionary Biology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"BIOL109  PO","Molecular Evol:The Tree of Life","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"BIOL109 LPO","Lab, Molecular Evolution","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,15
"BIOL111  HM","Molecular/Cellular Biology Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,2,12
"BIOL111  HM","Molecular/Cellular Biology Lab","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,2,12
"BIOL112  PO","Advanced Animal Ecology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"BIOL112 LPO","Lab, Advanced Animal Ecology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,15
"BIOL113  HM","Molecular Genetics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"BIOL119  HM","Advanced Mathematical Biology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-10-19,2,10
"BIOL120  KS","Research Tools:Organismal Biol","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,18
"BIOL121  PO","Insect Ecology & Behavior w/Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,10
"BIOL121 LPO","Lab, Insect Ecology & Behavior","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,10
"BIOL125  PO","Animal Behavior with Laboratory","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"BIOL125 LPO","Lab, Animal Behavior","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,12
"BIOL131  PO","Invertebrate Biology w/ Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
